"","row_code","scientificName","year","lon","lat","presence","species","farming","flooded_forest","grassland","other_non_vegetated","urban","wetland","forest_formation","river_lake_ocean","not_observed","mangrove","non_forested_natural","savannah_formation","rocky_outcrop","mining","fold"
"71",71,"Bradypus tridactylus",2016,-55.107878,5.77706,1,"Bradypus tridactylus",0.00821764045354307,0.938369612228074,0,0,0,0.0382454728054543,0,0,0,0,0,0,0,0,5
"72",72,"Bradypus tridactylus",2016,-52.734382,5.12383,1,"Bradypus tridactylus",0.0822624726020691,0.363900993848832,0.00712398486328125,0,0,0.0254148896484375,0.492343892758162,0,0,0,0,0,0,0,1
"73",73,"Bradypus tridactylus",2016,-55.346245,4.665315,1,"Bradypus tridactylus",0,0,0,0,0,0,0.970399208496105,0,0,0,0,0,0,0,5
"74",74,"Bradypus tridactylus",2000,-52.344503,4.864213,1,"Bradypus tridactylus",0,0.142168025399242,0,0,0,0,0.836604310645967,0,0,0,0,0,0,0,1
"75",75,"Bradypus tridactylus",2015,-52.25413,4.86639,1,"Bradypus tridactylus",0.0529859458185587,0.126175969485359,0,0.00445420196533203,0.0432461860795455,0.00352701244073606,0.512778159171875,0.229526202246507,0,0,0,0,0,0,1
"76",76,"Bradypus tridactylus",2015,-53.350371,3.86175,1,"Bradypus tridactylus",0,0,0,0,0,0,0.97138740380859,0,0,0,0,0,0,0,1
"77",77,"Bradypus tridactylus",2015,-55.140732,4.984004,1,"Bradypus tridactylus",0,0,0,0,0,0,0.074657251697169,0.915567836094365,0,0,0,0,0,0,5
"78",78,"Bradypus tridactylus",2014,-60.029803,-3.028147,1,"Bradypus tridactylus",0.0635483211281516,0,0,0,0.173601424521706,0.00803483142089844,0.718752862016159,0.00827834851074219,0,0,0,0,0,0,4
"79",79,"Bradypus tridactylus",2014,-54.97703,5.053198,1,"Bradypus tridactylus",0.0850513975626629,0.395585217412774,0.0284988765203303,0.00578883065795898,0.0506826416625977,0,0.252443129649769,0.195201775046608,0,0,0,0,0,0,5
"80",80,"Bradypus tridactylus",2014,-60.092313,-3.066462,1,"Bradypus tridactylus",0.0158256921109286,0,0.0173676840931286,0,0.415849689619584,0,0.452938299893466,0.0702007753351385,0,0,0,0,0,0,4
"81",81,"Bradypus tridactylus",2014,-59.986128,-3.097506,1,"Bradypus tridactylus",0.0268623027565696,0,0.00722277953546697,0,0.691573547248717,0.00673584478759766,0.238027210299405,0,0,0,0,0,0,0,4
"82",82,"Bradypus tridactylus",2013,-55.10353,5.778771,1,"Bradypus tridactylus",0.0308865350796569,0.934181661923094,0,0,0,0.0392211898692738,0,0,0,0,0,0,0,0,5
"83",83,"Bradypus tridactylus",2013,-60.043073,-3.100793,1,"Bradypus tridactylus",0.00416644752217782,0,0,0,0.520555292490326,0,0.455470390762693,0,0,0,0,0,0,0,4
"84",84,"Bradypus tridactylus",2013,-54.979606,5.784197,1,"Bradypus tridactylus",0.215497931763674,0.699639511704348,0,0.0133431076524523,0.0138990685501099,0.0153815193177466,0.0455763160565544,0,0,0,0,0,0,0,5
"85",85,"Bradypus tridactylus",2010,-52.59733,3.14268,1,"Bradypus tridactylus",0,0,0,0,0,0,0.967377447321161,0,0,0,0,0,0,0,1
"86",86,"Bradypus tridactylus",2012,-52.64126,2.37393,1,"Bradypus tridactylus",0,0,0,0,0,0,0.979486183663155,0,0,0,0,0,0,0,1
"87",87,"Bradypus tridactylus",2011,-53.75812,2.97142,1,"Bradypus tridactylus",0,0,0,0,0,0,0.983703320726823,0,0,0,0,0,0,0,1
"88",88,"Bradypus tridactylus",2012,-52.14776,3.41463,1,"Bradypus tridactylus",0,0,0,0,0,0,0.978670591937618,0,0,0,0,0,0,0,1
"89",89,"Bradypus tridactylus",2012,-52.1926,3.2789,1,"Bradypus tridactylus",0,0,0,0,0,0,0.981838190509,0.00871545872587316,0,0,0,0,0,0,1
"90",90,"Bradypus tridactylus",2011,-52.86589,2.28322,1,"Bradypus tridactylus",0,0,0,0,0,0,0.965741897434127,0,0,0,0,0,0,0,1
"91",91,"Bradypus tridactylus",2012,-53.04554,2.19256,1,"Bradypus tridactylus",0,0,0,0,0,0,0.984171293743059,0,0,0,0,0,0,0,1
