"","row_code","scientificName","year","lon","lat","presence","bio1_mean_annual_temp","bio12_annual_precip","farming","forest_formation","other_non_vegetated","flooded_forest","river_lake_ocean","urban","non_forested_natural","grassland","wetland","mining","savannah_formation","mangrove","not_observed","glacier","fold"
"69",69,"Marmosops noctivagus",1975,-56.75,-5.67,1,26.1524650255839,2282.71364644368,0.012752615,0.946254861,0,0,0,0,0,0,0,0.021575781,0,0,0,0,2
"70",70,"Marmosops noctivagus",1974,-54.7,-9.17,1,23.3852903833033,2506.73433447873,0.005517848,0,0,0,0,0,0,0.75186623,0,0,0.20554465,0,0,0,2
"71",71,"Marmosops noctivagus",1972,-76.989,0.084,1,24.4202441377758,3004.11295100169,0.510791305,0.10060125,0.008045766,0,0,0.350580331,0,0,0,0,0,0,0,0,1
"72",72,"Marmosops noctivagus",1971,-71.217,-10.133,1,24.8495921617673,1731.10711845743,0.016167313,0.802027189,0.032206835,0.006024739,0.13352382,0,0,0,0.002510005,0,0,0,0,0,3
"73",73,"Marmosops noctivagus",1968,-76.78842,0.055486,1,24.5338104849534,3896.79389466092,0.29613604,0.620046148,0.011847794,0,0.050590683,0,0,0,0,0,0,0,0,0,1
"74",74,"Marmosops noctivagus",1968,-77.483,-1.733,1,24.2804692586263,4472.76771850586,0.346338674,0.575898565,0.006255042,0,0.026148479,0.019188176,0,0,0,0,0,0,0,0,1
"75",75,"Marmosops noctivagus",1966,-76.633333,1.116667,1,23.7669665150623,4026.41392979286,0.617785157,0.324534171,0.000893811,0,0.030958319,0,0,0,0,0,0,0,0,0,1
"76",76,"Marmosops noctivagus",1965,-76.61667,-0.4,1,25.0046288013458,3430.74978739421,0.064553021,0.297351727,0,0,0.586467793,0.023639254,0,0,0,0,0,0,0,0,1
"77",77,"Marmosops noctivagus",1962,-71.133331,-12.2,1,24.0565107590925,1612.3120228621,0,0.987244731,0,0,0,0,0,0,0,0,0,0,0,0,3
"78",78,"Marmosops noctivagus",1957,-72.76667,-3.433333,1,25.75,3390.08280318011,0.742428674,0.007008658,0.019489617,0.121041263,0.09236329,0,0,0,0.030902021,0,0,0,0,0,1
"79",79,"Marmosops noctivagus",1956,-74.216667,-4.833333,1,25.7968600880016,2969.39277484988,0,0,0,0.975678738,0,0,0,0,0,0,0,0,0,0,1
"80",80,"Marmosops noctivagus",1953,-70.583336,-13.25,1,23.1745068731387,3639.47896153474,0,0.977183919,0.001741556,0,0.010544298,0,0,0,0,0,0,0,0,0,3
"81",81,"Marmosops noctivagus",1952,-74.683333,0.133333,1,25.0499992370605,3044.20431947314,0.19192813,0.021446421,0.016407028,0.62795287,0.123804234,0,0,0,0,0,0,0,0,0,1
"82",82,"Marmosops noctivagus",1952,-75.333333,0.466667,1,25.0530699100732,3583.22537927905,0.038195903,0.000893947,0,0.831451237,0.10369774,0,0,0,0,0,0,0,0,0,1
"83",83,"Marmosops noctivagus",1951,-70.633331,-13.266666,1,22.9198619196238,4001.29633324994,0.006215353,0.984628683,0,0,0,0,0,0,0,0,0,0,0,0,3
"84",84,"Marmosops noctivagus",1949,-70.716667,-13.4,1,18.1026752408871,5117.71711163481,0.009572859,0.947878385,0,0,0,0,0.013765933,0,0,0,0,0,0,0,3
"85",85,"Marmosops noctivagus",1946,-75.98333,-9.3,1,23.1799621187951,2701.9999778054,0.442734935,0.529650259,0,0,0,0,0,0,0,0,0,0,0,0,1
"86",86,"Marmosops noctivagus",1936,-77.817,-0.983,1,24.2702517668406,4586.54777832031,0.41943437,0.002170774,0.017851702,0,0,0.543775173,0,0,0,0,0,0,0,0,1
"87",87,"Sciurus spadiceus",2021,-67.668921,-9.750037,0,25.3696305692688,1953.75900747756,0.17119214,0.799831618,0,0,0,0,0,0,0,0,0,0,0,0,3
"88",88,"Pithecia pithecia",2018,-60.032921,-2.006137,0,25.993408662155,2456.66779450856,0.068002742,0.91404199,0,0,0,0,0,0,0,0,0,0,0,0,2
"89",89,"Leontocebus nigricollis",2018,-76.309221,-0.495537,0,24.9760940361814,3320.51126693789,0,0.664404125,0,0.302168602,0,0,0,0,0,0,0,0,0,0,1
"90",90,"Ateles chamek",2021,-71.960021,-7.874237,0,25.1512575307168,2325.55290991413,0,0.9646019,0,0,0,0,0,0,0,0,0,0,0,0,3
"91",91,"Alouatta sara",2018,-69.627721,-13.136437,0,24.3090906182434,2391.23001563304,0,0.976327089,0,0,0,0,0,0,0,0,0,0,0,0,3
"92",92,"Saimiri sciureus",2018,-77.537621,-1.076537,0,24.3095135589853,4512.87478523729,0.479467003,0.396447452,0.004826639,0,0.100468424,0,0,0,0,0,0,0,0,0,1
