system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,species,year,.geo
00000000000000000065,2310.162249173366,25.31034482267388,0,102,Ateles marginatus,background species,1957,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-57.204274677131416,-7.840984322600898],[-57.1952506174496,-7.840984322600898],[-57.1952506174496,-7.831987185764761],[-57.204274677131416,-7.831987185764761],[-57.204274677131416,-7.840984322600898]]]}"
00000000000000000074,2333.1440258183757,25.442972191109146,0,117,Ateles marginatus,background species,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-56.20426656221129,-6.840986320357536],[-56.195262758527726,-6.840986320357536],[-56.195262758527726,-6.83198918351899],[-56.20426656221129,-6.83198918351899],[-56.20426656221129,-6.840986320357536]]]}"
00000000000000000073,687.8127700114936,7.992033962359643,0,116,Lagidium viscacia,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-68.20443279949743,-16.840984179194674],[-68.19509264873078,-16.840984179194674],[-68.19509264873078,-16.83198704238093],[-68.20443279949743,-16.83198704238093],[-68.20443279949743,-16.840984179194674]]]}"
0000000000000000004d,1954.2303980509441,25.75012617111206,0,78,Mazama nemorivaga,background species,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-53.204232593084086,1.1590155339938262],[-53.195290965058184,1.1590155339938262],[-53.195290965058184,1.1680126708514058],[-53.204232593084086,1.1680126708514058],[-53.204232593084086,1.1590155339938262]]]}"
00000000000000000067,1954.2303980509441,25.75012617111206,0,104,Mazama nemorivaga,background species,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-53.204232593084086,1.1590155339938262],[-53.195290965058184,1.1590155339938262],[-53.195290965058184,1.1680126708514058],[-53.204232593084086,1.1680126708514058],[-53.204232593084086,1.1590155339938262]]]}"
0000000000000000008e,2104.9599660026583,25.67864952245688,0,143,Pithecia irrorata,background species,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-59.20429965751572,-9.840984786188644],[-59.19522648938302,-9.840984786188644],[-59.19522648938302,-9.831987649357359],[-59.20429965751572,-9.831987649357359],[-59.20429965751572,-9.840984786188644]]]}"
00000000000000000053,3305.704606994125,25.049999237060547,0,84,Pithecia pithecia,background species,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.20423478812269,-0.8409849295940333],[-74.19529405055782,-0.8409849295940333],[-74.19529405055782,-0.8319877927411929],[-74.20423478812269,-0.8319877927411929],[-74.20423478812269,-0.8409849295940333]]]}"
0000000000000000006c,1795.060591448392,24.9625589995958,0,109,Platyrrhinus masu,background species,2018,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.20428838883477,-8.840982324844253],[-76.19524121975056,-8.840982324844253],[-76.19524121975056,-8.831985188010536],[-76.20428838883477,-8.831985188010536],[-76.20428838883477,-8.840982324844253]]]}"
00000000000000000069,2629.532002682508,25.856438545765226,0,106,Saguinus martinsi,background species,2008,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-57.20423489573731,-1.840982931837435],[-57.195290516592756,-1.840982931837435],[-57.195290516592756,-1.831985794986965],[-57.20423489573731,-1.831985794986965],[-57.20423489573731,-1.840982931837435]]]}"
0000000000000000004e,3104.967142318789,25.471264645271773,0,79,Vampyrum spectrum,background species,1995,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-67.20423493684017,0.15901307264936992],[-67.19529511585402,0.15901307264936992],[-67.19529511585402,0.16801020950457987],[-67.20423493684017,0.16801020950457987],[-67.20423493684017,0.15901307264936992]]]}"
00000000000000000087,2141.984981805952,26.111440239110923,0,136,Alouatta nigerrima,background species,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-58.20425101317066,-4.840985856769724],[-58.195279282722495,-4.840985856769724],[-58.195279282722495,-4.8319887199263905],[-58.20425101317066,-4.8319887199263905],[-58.20425101317066,-4.840985856769724]]]}"
