row_code,farming,forest_formation,other_non_vegetated,flooded_forest,river_lake_ocean,urban,non_forested_natural,grassland,wetland,mining,savannah_formation,mangrove,not_observed,glacier
141,0,0.256055534,0,0,0,0,0,0.73402851,0,0,0,0,0,0
142,0.015977098,0.970636619,0,0,0,0,0,0,0,0,0,0,0,0
143,0.078334862,0.352020349,0,0,0.044919494,0.513208709,0,0.020236088,0,0,0,0,0,0
144,0.944551953,0.001678027,0.010468875,0,0.006255794,0.023124259,0,0,0,0,0,0,0,0
145,0.486642088,0.162986086,0.004909062,0.253409865,0.072508302,0,0,0,0,0,0,0,0,0
146,0.607411314,0.039212752,0.116966518,0,0,0,0.242316756,0.004974564,0,0,0,0,0,0
147,0,0,0,0,0.976943627,0,0,0,0,0,0,0,0,0
148,0.096099758,0,0,0.001222554,0,0,0,0.887054662,0.018630678,0,0,0,0,0
149,0.869445184,0.013274518,0,0.088658273,0.008849665,0,0,0,0,0,0,0,0,0
150,0.010391766,0.058224056,0,0.322882928,0.083977705,0,0,0.524851123,0,0,0,0,0,0
151,0,0.978601428,0,0,0,0,0,0,0,0,0,0,0,0
152,0.15226285,0,0,0,0,0,0,0.464140091,0.348752463,0,0,0,0,0
153,0.128594505,0.820184769,0,0.018434644,0.005359852,0,0,0,0,0,0,0,0,0
154,0.580375338,0,0.030748311,0,0,0,0.317369176,0.051592247,0,0,0,0,0,0
155,0,0.973464094,0,0,0,0,0,0,0,0,0,0,0,0
156,0.068073222,0.923276688,0,0,0,0,0,0,0,0,0,0,0,0
157,0.065933633,0.075696917,0,0,0.832520543,0.010691966,0,0,0,0,0,0,0,0
158,0,0.043005148,0,0.610085465,0.054797675,0,0,0.26467249,0.004986592,0,0,0,0,0
159,0,0,0.952330162,0,0,0,0,0.017172396,0,0,0,0,0,0
160,0.022413958,0.945103081,0,0,0,0,0.006253191,0,0,0,0,0,0,0
161,0,0.951813364,0,0,0,0,0,0.0140581,0,0,0,0,0,0
162,0.007043731,0.096332456,0,0,0.846247864,0,0,0.021236047,0,0,0,0,0,0
163,0,0.990176328,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0.198872293,0,0,0,0,0.769433943,0,0,0,0,0,0,0
165,0,0.92058729,0,0,0,0,0.069574559,0,0,0,0,0,0,0
