system:index,area,class,territory,year,.geo
0_89_0,0.017444360961914058,3,96,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90_0,0.013939081787109373,3,97,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_91_0,0.017441651611328126,6,98,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_92_0,0.014031246337890626,3,100,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93_0,0.014047702148437495,3,102,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_94_0,0.0069778537597656246,3,103,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_94_1,0.0069778537597656246,14,103,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_95_0,0.005245406005859375,3,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_95_1,0.005245411376953124,6,104,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96_0,0.017535937499999994,3,105,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_97_0,0.011337604797363282,6,106,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_97_1,0.0026163663940429686,33,106,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_98_0,0.001748068420410156,3,107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_98_1,0.012236478942871096,14,107,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_99_0,0.017459565429687504,6,109,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_100_0,0.005237908142089844,14,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_100_1,0.012221791564941404,30,110,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_101_0,0.017441587524414062,3,111,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_102_0,0.013950061035156253,6,112,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_103_0,0.013971948486328128,6,113,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_104_0,0.021817216796874997,3,114,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_105_0,0.010465922790527346,6,115,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_105_1,0.001744323974609375,14,115,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_105_2,0.0017443230590820312,33,115,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_106_0,0.021822385253906253,3,116,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_107_0,0.008728227966308594,6,117,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_107_1,0.005236928283691406,14,117,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_108_0,0.017558876647949223,3,118,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_109_0,0.02179679870605469,3,120,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_110_0,0.013996301757812501,3,121,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_111_0,0.013972048095703129,6,122,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_112_0,0.02194363861083985,3,123,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_113_0,0.017555493896484375,3,125,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_114_0,0.005239654052734375,30,126,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_114_1,0.008732763916015625,33,126,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_115_0,0.017433473510742186,3,127,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_116_0,0.017459565429687504,33,128,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_117_0,0.013969882324218752,6,129,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_118_0,0.017456714782714843,3,130,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_119_0,0.008730412231445312,14,132,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_119_1,0.008730423034667967,30,132,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120_0,0.01399675390625,3,133,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_121_0,0.006106636962890625,6,134,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_121_1,0.004361880798339844,14,134,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_121_2,0.006979007263183594,33,134,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_122_0,0.017479715087890625,3,135,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_123_0,0.017472618713378907,3,136,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124_0,0.012240278076171876,3,137,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124_1,0.001748609130859375,33,137,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_125_0,0.01753935620117188,3,140,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_126_0,0.01746062963867188,6,141,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_127_0,0.01487117529296875,3,142,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_127_1,0.002624321533203125,33,142,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_128_0,0.017558986206054693,3,147,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_129_0,0.0175391142578125,3,148,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_130_0,0.008721310729980468,3,149,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_130_1,0.01308194091796875,6,149,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_131_0,0.013969139892578123,14,150,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_132_0,0.013974476318359373,3,152,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_133_0,0.013956246337890627,3,153,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_134_0,0.013107062316894532,6,155,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_134_1,0.004369011413574218,33,155,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_135_0,0.015729755065917967,3,156,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_135_1,0.0017477476806640625,6,156,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_136_0,0.008715225219726562,3,157,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_136_1,0.0052291453857421875,33,157,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_137_0,8.73145751953125E-4,3,158,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_137_1,0.013097164794921878,14,158,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_138_0,0.017441926025390624,3,160,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_139_0,0.01743066650390625,3,161,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_140_0,0.008730205688476562,30,162,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_140_1,0.008730227172851563,33,162,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_141_0,0.002619926513671875,6,163,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_141_1,0.010479707031249999,14,163,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_141_2,8.73310302734375E-4,30,163,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_142_0,0.013971735107421872,6,164,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_143_0,0.014043885009765623,3,165,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_144_0,0.016586653930664063,3,167,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_144_1,8.729832153320312E-4,6,167,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_145_0,0.017559510498046868,3,168,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_146_0,0.01395337255859375,3,169,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_147_0,0.01316867449951172,3,171,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_147_1,8.779129028320313E-4,14,171,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_148_0,0.017456508300781257,3,172,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_149_0,0.0035117956542968748,3,173,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_149_1,0.010535393310546875,14,173,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_150_0,0.011413191223144534,3,174,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_150_1,0.002633809997558594,14,174,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_151_0,0.006988567871093751,3,175,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_151_1,0.010482869506835937,33,175,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_152_0,0.010501442810058595,3,176,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_152_1,0.003500477600097656,33,176,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_153_0,0.017464597778320316,6,177,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154_0,0.0034928439331054686,14,178,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_154_1,0.013971362304687499,30,178,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_155_0,0.013942220947265624,3,179,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_156_0,0.021820635375976574,3,180,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_157_0,0.017477309875488282,3,181,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158_0,0.016603379028320313,3,182,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_158_1,8.738606567382812E-4,33,182,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_159_0,0.017457307128906245,14,183,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_160_0,0.017459637145996094,33,185,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_161_0,0.017445980834960934,6,186,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_162_0,0.014047001220703131,3,187,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_163_0,0.013971578613281249,6,188,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_164_0,0.013954292480468748,3,191,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_165_0,0.0034895966796874996,6,193,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_165_1,0.010468800781249999,14,193,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_166_0,0.017447525024414063,3,195,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,0.01744230041503906,6,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_0,0.013954540527343746,3,2,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,0.01744221801757813,6,3,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_0,0.01748448706054688,3,4,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_0,0.007872930419921874,3,6,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_0,0.0034884964599609376,6,7,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_0,0.01744267456054687,3,8,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_0,0.01831394018554687,3,9,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_0,0.0061048129272460935,3,10,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1,0.011337496643066408,6,10,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_0,0.004375598022460937,3,11,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1,0.002625353759765625,33,11,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_0,8.74772705078125E-4,3,12,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1,0.006123405517578126,33,12,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_0,0.0017462041015625,3,13,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1,8.7310205078125E-4,14,13,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_2,0.0017462041015625,25,13,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_0,0.01308126068115234,3,14,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_1,8.720825805664063E-4,6,14,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_0,0.013954409667968747,3,15,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_0,0.003491922119140625,33,17,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_0,0.0017476126708984374,3,18,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_1,0.005242832702636719,6,18,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_0,0.012247808227539061,3,19,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_1,0.0017496839599609375,33,19,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_0,0.0061054567260742185,6,20,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_1,0.011338704040527345,14,20,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_0,0.02190685241699219,3,21,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_0,0.017525194091796877,3,22,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_0,0.00784865899658203,3,23,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_1,0.009592827819824219,6,23,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21_0,8.723222045898438E-4,3,24,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21_1,0.013084870605468752,6,24,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
