system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,year,.geo
000000000000000000e9,3286.2793670654296,22.555820870399472,0,234,Marmosa murina,1994,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.39699578227398,-4.102233207943947],[-78.38803308481216,-4.102233207943947],[-78.38803308481216,-4.093236071098851],[-78.39699578227398,-4.093236071098851],[-78.39699578227398,-4.102233207943947]]]}"
000000000000000000a0,2694.0956737470824,25.19994707226259,0,161,Platyrrhinus aurarius,1998,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-66.61931264031251,6.28936290540691],[-66.61031864733417,6.28936290540691],[-66.61031864733417,6.298360042276705],[-66.61931264031251,6.298360042276705],[-66.61931264031251,6.28936290540691]]]}"
00000000000000000086,2018.436596882294,25.129012705379502,0,135,Lophostoma schulzi,1999,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-60.50222094004383,7.368367260115042],[-60.49320662676158,7.368367260115042],[-60.49320662676158,7.377364396987432],[-60.50222094004383,7.377364396987432],[-60.50222094004383,7.368367260115042]]]}"
000000000000000000f7,3183.063830110542,25.450000762939453,0,248,Cormura brevirostris,2003,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.53319477015812,-3.9445326400881564],[-73.52423380574318,-3.9445326400881564],[-73.52423380574318,-3.935535503242685],[-73.53319477015812,-3.935535503242685],[-73.53319477015812,-3.9445326400881564]]]}"
000000000000000000a2,2559.2099923414808,25.749018063683724,0,163,Trinycteris nicefori,2004,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-53.65470547435172,5.392963197937991],[-53.64572587631021,5.392963197937991],[-53.64572587631021,5.401960334805642],[-53.65470547435172,5.401960334805642],[-53.65470547435172,5.392963197937991]]]}"
000000000000000000b9,3288.995429201245,24.80337167478696,0,186,Rhinophylla fischerae,2006,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.43818629211937,-0.690936179145935],[-76.42924586577081,-0.690936179145935],[-76.42924586577081,-0.681939042292739],[-76.43818629211937,-0.681939042292739],[-76.43818629211937,-0.690936179145935]]]}"
000000000000000000d4,1815.6313395519965,24.868731573904203,0,213,Peropteryx macrotis,2006,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-56.875097757588904,4.479966716348182],[-56.866130521170454,4.479966716348182],[-56.866130521170454,4.488963853213652],[-56.875097757588904,4.488963853213652],[-56.875097757588904,4.479966716348182]]]}"
00000000000000000065,2071.6850414433757,16.749753676170158,0,102,Lagothrix flavicauda,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.79513490767759,-8.658935065236712],[-76.7860921596168,-8.658935065236712],[-76.7860921596168,-8.649937928402553],[-76.79513490767759,-8.649937928402553],[-76.79513490767759,-8.658935065236712]]]}"
000000000000000000b7,2291.5908507034487,26.8111752949315,0,184,Tonatia saurophila,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.54248375498417,-0.8735363672841109],[-52.53354294180715,-0.8735363672841109],[-52.53354294180715,-0.8645392304313475],[-52.54248375498417,-0.8645392304313475],[-52.54248375498417,-0.8735363672841109]]]}"
000000000000000000be,2747.8985600768283,24.944557585656888,0,191,Microsciurus flaviventer,2007,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.22638534957827,-0.5747364647944643],[-75.21744512209854,-0.5747364647944643],[-75.21744512209854,-0.5657393279409929],[-75.22638534957827,-0.5657393279409929],[-75.22638534957827,-0.5747364647944643]]]}"
