"","row_code","farming","forest_formation","flooded_forest","non_forested_natural","river_lake_ocean","grassland","other_non_vegetated","not_observed","wetland","urban","savannah_formation","rocky_outcrop","glacier"
"136",140,0,0.965911100695082,0,0,0,0,0,0,0,0,0,0,0
"137",141,0,0.96756008788823,0,0,0,0,0,0,0,0,0,0,0
"138",142,0,0.978769438306141,0,0,0,0,0,0,0,0,0,0,0
"139",143,0,0.957891726045495,0,0,0,0,0,0,0,0,0,0,0
"140",144,0.0701694105665237,0.905542028215214,0,0,0,0,0,0,0,0,0,0,0
"141",145,0.937704873523078,0.0197863155184659,0,0,0,0.00440590704345703,0,0,0,0,0,0,0
"142",146,0.0874791905461657,0.0791211361028498,0.0160676778564453,0,0,0.802185622591122,0,0,0,0,0,0,0
"143",147,0.534933433045412,0.434440045206749,0,0,0,0.00456604421164773,0,0,0,0,0,0,0
"144",148,0.0644272103502462,0.93096086395131,0,0,0,0,0,0,0,0,0,0,0
"145",149,0.146394571170503,0.0151338270225375,0.132335545304732,0,0.0987356740443918,0.698766682738669,0,0,0.0263881655217588,0,0,0,0
"146",150,0.0143424330713609,0.968944430241734,0,0,0,0,0,0,0,0,0,0,0
"147",151,0,0.971038059814451,0,0,0,0,0,0,0,0,0,0,0
"148",152,0.0254859634551005,0.725941451158166,0,0,0.22670075624876,0,0,0,0,0,0,0,0
"149",153,0,0.969351915824863,0,0,0,0,0,0,0,0,0,0,0
"150",154,0.860704346541102,0.106069109437602,0,0.00646716580200195,0,0.0188244068847656,0,0,0.00382694521484375,0,0,0,0
"151",155,0,0.969467548881743,0,0,0,0,0,0,0,0,0,0,0
"152",156,0,0.723818863206331,0,0.267217388131894,0,0,0,0,0,0,0,0,0
"153",157,0,0.964687237609864,0,0,0,0,0,0,0,0,0,0,0
"154",158,0.976842744894372,0.00478361069335937,0,0,0,0,0,0,0,0,0,0,0
"155",159,0,0.978769438306141,0,0,0,0,0,0,0,0,0,0,0
"156",160,0.0163985930716503,0.963003082341947,0,0,0,0,0,0,0,0,0,0,0
"157",161,0.0716113464244496,0.732315066001198,0,0,0,0.1613012966697,0.00258273522949219,0,0,0,0,0,0
"158",162,0,0.969489088547651,0,0,0,0,0,0,0,0,0,0,0
"159",163,0,0,0,0,0,0,0.00382005385270008,0,0,0,0,0,0.0155315378539386
"160",164,0,0.968629819365137,0,0,0,0,0,0,0,0,0,0,0
"161",165,0.732266986167017,0.122405181272021,0,0,0,0.134219449596472,0,0,0,0,0,0,0
"162",166,0.158626578744665,0.355939203354518,0,0,0,0.451345318595899,0,0,0,0,0,0,0
"163",167,0,0.968060804809571,0,0,0,0,0,0,0,0,0,0,0
"164",168,0,0.121542633073286,0.790310097606311,0,0,0,0,0,0.0540793607510653,0,0,0,0
"165",169,0.0641749183044107,0.9035533568701,0,0.0191888510742187,0,0,0,0,0,0,0,0,0
"166",170,0,0,0,0,0,0.946090385296071,0.0213947867206213,0,0,0,0,0,0
