scientificName,year,lon,lat,presence,row_code,species
Marmosops noctivagus,1993,-65.585621,-17.012537,0,226,background species
Saimiri boliviensis,2021,-65.419621,-14.173937,0,227,background species
Pithecia milleri,2008,-75.636921,1.936363,0,228,background species
Saimiri collinsi,2014,-54.729221,-2.396237,0,229,background species
Tapirus pinchaque,1969,-76.699321,1.878263,0,230,background species
Mazama nemorivaga,2015,-52.147921,4.044563,0,231,background species
Dasyprocta leporina,2020,-55.210621,5.820763,0,232,background species
Tamandua tetradactyla,2019,-71.121721,-12.057437,0,233,background species
Sturnira lilium,2017,-76.309221,0.550263,0,234,background species
Proechimys simonsi,2020,-78.517021,-3.782337,0,235,background species
Myoprocta acouchy,2017,-55.218921,4.916063,0,236,background species
Leontocebus weddelli,1951,-68.980321,-13.983037,0,237,background species
Hydrochoerus hydrochaeris,2022,-66.971721,-14.090937,0,238,background species
Plecturocebus moloch,2019,-49.674521,-3.832137,0,239,background species
Dasyprocta variegata,2017,-69.138021,-12.812737,0,240,background species
Artibeus amplus,1967,-65.676921,3.621263,0,241,background species
Didelphis pernigra,2021,-77.960921,-0.437437,0,242,background species
Pteronura brasiliensis,2019,-76.591421,-0.420837,0,243,background species
Sciurus igniventris,2019,-67.942821,3.878563,0,244,background species
Saguinus inustus,2012,-70.100821,1.272363,0,245,background species
Lagothrix flavicauda,2007,-77.745121,-5.666437,0,246,background species
Ateles belzebuth,2012,-75.686721,-1.192737,0,247,background species
Micronycteris minuta,1970,-59.534921,2.865963,0,248,background species
Marmosa murina,1990,-68.772821,-13.576337,0,249,background species
Nephelomys keaysi,1941,-65.486021,-17.103837,0,250,background species
Plecturocebus donacophilus,2014,-63.228421,-17.792737,0,251,background species
Akodon dayi,1991,-63.029221,-17.585237,0,252,background species
Saimiri sciureus,2021,-51.965321,4.484463,0,253,background species
Pithecia pithecia,2010,-52.313921,3.720863,0,254,background species
Leontocebus fuscicollis,2000,-68.349521,-13.750637,0,255,background species
Oligoryzomys flavescens,1993,-65.535821,-17.037437,0,256,background species
Alouatta seniculus,2021,-73.819221,2.251763,0,257,background species
Lagothrix lagothricha,2017,-71.503521,-13.136437,0,258,background species
Plecturocebus discolor,2013,-76.940021,0.176763,0,259,background species
Cebuella pygmaea,2019,-75.769721,-0.263137,0,260,background species
Nasuella olivacea,2014,-78.932021,-4.114337,0,261,background species
Speothos venaticus,2019,-76.259421,-0.512137,0,262,background species
Cebus yuracus,2022,-77.736821,-1.101437,0,263,background species
Lagothrix lagothricha,2018,-76.367321,-0.487237,0,264,background species
Rhynchonycteris naso,2021,-58.771321,4.501063,0,265,background species
Ateles belzebuth,2019,-77.446321,-1.035037,0,266,background species
Neacomys paracou,1991,-59.153121,7.563763,0,267,background species
Cebus yuracus,2021,-76.159821,-7.011037,0,268,background species
Saimiri sciureus,2018,-53.915821,5.687963,0,269,background species
Myotis albescens,1992,-57.327121,5.322763,0,270,background species
Galea musteloides,1986,-62.348621,-19.452737,0,271,background species
Pithecia milleri,2017,-75.894221,1.620963,0,272,background species
Saimiri sciureus,2017,-55.028021,5.887163,0,273,background species
Saimiri cassiquiarensis,2021,-76.815521,-0.346137,0,274,background species
Myrmecophaga tridactyla,2021,-60.655421,2.782963,0,275,background species
Alouatta sara,2018,-71.354121,-12.563737,0,276,background species
Isothrix bistriata,2015,-73.246521,-4.338437,0,277,background species
Neotomys ebriosus,1975,-71.096821,-14.472737,0,278,background species
Noctilio albiventris,2016,-74.582821,0.052263,0,279,background species
Leontocebus fuscus,2019,-76.599721,0.624963,0,280,background species
Thomasomys cinereiventer,1968,-76.940021,1.214263,0,281,background species
Microsciurus flaviventer,2019,-72.889621,-7.484137,0,282,background species
Ateles chamek,2014,-69.735621,-12.165337,0,283,background species
Philander opossum,2012,-53.368021,3.181363,0,284,background species
Priodontes maximus,2013,-72.557621,-4.587437,0,285,background species
Marmosa regina,1927,-74.831821,-7.749737,0,286,background species
Callimico goeldii,2017,-67.743621,-9.791537,0,287,background species
Ateles paniscus,2012,-52.728921,3.098363,0,288,background species
Tapirus terrestris,2021,-76.931721,0.126963,0,289,background species
Lagothrix lagothricha,2016,-76.035321,-0.603437,0,290,background species
Akodon spegazzinii,1901,-65.120821,-19.120737,0,291,background species
Choloepus didactylus,2018,-54.978221,-2.470937,0,292,background species
Eremoryzomys polius,1967,-78.160121,-5.907137,0,293,background species
Monodelphis adusta,1912,-76.964921,-6.048237,0,294,background species
Lagothrix lagothricha,2019,-76.002121,-0.163537,0,295,background species
Alouatta sara,2017,-63.660021,-17.510537,0,296,background species
Akodon mimus,1984,-64.664321,-17.850837,0,297,background species
Pithecia monachus,1979,-77.720221,-3.915137,0,298,background species
Cebuella pygmaea,2019,-76.159821,-0.669837,0,299,background species
Plecturocebus discolor,2013,-75.495821,-2.778037,0,300,background species
Atelocynus microtis,2018,-69.652621,-13.194537,0,301,background species
Tapirus terrestris,2021,-76.931721,-0.545337,0,302,background species
Rhinophylla fischerae,1971,-74.367021,-9.368237,0,303,background species
Pithecia monachus,2008,-72.233921,-3.574837,0,304,background species
Saguinus bicolor,2021,-59.916721,-2.819537,0,305,background species
Mazama americana,2020,-51.898921,3.853663,0,306,background species
Ateles chamek,2018,-69.785421,-13.153037,0,307,background species
Chiropotes albinasus,2020,-55.824821,-9.584037,0,308,background species
Mimon bennettii,1970,-70.432821,-3.815537,0,309,background species
Cheracebus lugens,2020,-67.868121,3.886863,0,310,background species
Nectomys rattus,1972,-55.501121,-4.330137,0,311,background species
Rhinophylla fischerae,1964,-76.002121,-1.997837,0,312,background species
Choloepus didactylus,2020,-73.644921,-4.562537,0,313,background species
Lampronycteris brachyotis,1987,-53.127321,5.480463,0,314,background species
Dermanura gnoma,1980,-75.213621,-10.779237,0,315,background species
Mazama nemorivaga,2017,-51.874021,3.870263,0,316,background species
Platyrrhinus umbratus,1971,-74.466621,-9.285237,0,317,background species
Cebus olivaceus,2010,-53.558921,3.538263,0,318,background species
Platyrrhinus fusciventris,1985,-66.158321,0.832463,0,319,background species
Panthera onca,2020,-76.765721,0.873963,0,320,background species
Saccopteryx canescens,1992,-57.302221,5.165063,0,321,background species
Phyllotis haggardi,2020,-78.840721,-1.524737,0,322,background species
Cebus olivaceus,2011,-54.081821,3.181363,0,323,background species
Alouatta seniculus,2022,-73.794321,2.193663,0,324,background species
Proechimys cuvieri,2002,-55.177421,4.932663,0,325,background species
Philander opossum,2019,-71.387321,-12.787837,0,326,background species
Herpailurus yagouaroundi,2018,-72.549321,-3.417137,0,327,background species
Ctenomys boliviensis,1988,-63.253321,-17.386037,0,328,background species
Caluromys lanatus,1937,-77.886221,-1.084837,0,329,background species
Plecturocebus cupreus,2010,-70.308321,-3.881937,0,330,background species
Ateles belzebuth,2019,-76.159821,-0.412537,0,331,background species
Thyroptera tricolor,2018,-73.603421,-3.940037,0,332,background species
Ateles belzebuth,2007,-63.469121,0.782663,0,333,background species
Calomys lepidus,1975,-71.569921,-13.426937,0,334,background species
Tamandua tetradactyla,2019,-75.877621,1.471563,0,335,background species
Atelocynus microtis,2018,-74.690721,0.185063,0,336,background species
Sciurus ignitus,1915,-70.150621,-13.551437,0,337,background species
Vicugna vicugna,2018,-72.001521,-13.327337,0,338,background species
Leontocebus fuscicollis,2013,-75.122321,-3.276037,0,339,background species
Plecturocebus moloch,2018,-54.853721,-2.412837,0,340,background species
Hylaeamys yunganus,1991,-70.731621,-6.803537,0,341,background species
Neacomys spinosus,2006,-76.483521,-0.686437,0,342,background species
Dasyprocta leporina,2019,-55.152521,4.974163,0,343,background species
Neotomys ebriosus,1922,-76.193021,-10.580037,0,344,background species
Saimiri cassiquiarensis,2019,-76.193021,-0.063937,0,345,background species
Dasyprocta fuliginosa,2021,-76.973221,-0.520437,0,346,background species
Plecturocebus toppini,2020,-68.316321,-10.339337,0,347,background species
Akodon dayi,1984,-63.319721,-17.236637,0,348,background species
Transandinomys talamancae,2016,-73.794321,2.251763,0,349,background species
Lagothrix lagothricha,2018,-76.400521,-0.570237,0,350,background species
Akodon subfuscus,1953,-73.902221,-13.402037,0,351,background species
Leontocebus fuscicollis,2017,-71.254521,-12.679937,0,352,background species
Vampyriscus brocki,1966,-59.202921,2.666763,0,353,background species
Panthera onca,2021,-76.699321,1.122963,0,354,background species
Saguinus midas,2019,-52.936421,5.106963,0,355,background species
Atelocynus microtis,2018,-69.719021,-13.070037,0,356,background species
Calomys callosus,1991,-63.137121,-17.236637,0,357,background species
Desmodus rotundus,2019,-65.245321,-19.046037,0,358,background species
Ateles paniscus,2012,-53.583821,3.231163,0,359,background species
Phyllostomus hastatus,2022,-69.478321,-12.870837,0,360,background species
Dasypus kappleri,2020,-76.691021,1.064863,0,361,background species
Monodelphis glirina,1972,-55.667121,-4.330137,0,362,background species
Makalata didelphoides,1936,-55.135921,-2.836137,0,363,background species
Mazama nemorivaga,2017,-52.106421,4.318463,0,364,background species
Proechimys guyannensis,2007,-58.231821,3.505063,0,365,background species
Pithecia monachus,2013,-73.952021,-2.587137,0,366,background species
Saimiri boliviensis,2020,-69.179521,-12.572037,0,367,background species
Microryzomys minutus,1994,-65.303421,-17.576937,0,368,background species
Pteronotus rubiginosus,1986,-52.363721,-3.649537,0,369,background species
Saguinus mystax,2019,-73.661521,-7.450937,0,370,background species
Euryoryzomys macconnelli,1982,-51.998521,0.998463,0,371,background species
Sturnira oporaphilum,1992,-67.735321,-16.149337,0,372,background species
Platyrrhinus masu,2020,-75.354721,-10.546837,0,373,background species
Pithecia irrorata,2022,-64.174621,-11.916337,0,374,background species
Lophostoma silvicolum,2016,-70.217021,3.803863,0,375,background species
Galea musteloides,1990,-62.215821,-18.747237,0,376,background species
Akodon toba,1984,-62.448221,-17.386037,0,377,background species
Cebus aequatorialis,2017,-76.002121,-0.528737,0,378,background species
Saimiri cassiquiarensis,2022,-64.622821,-2.479237,0,379,background species
Saimiri cassiquiarensis,2021,-76.317521,-0.146937,0,380,background species
Ateles chamek,2022,-54.928421,-12.347937,0,381,background species
Phylloderma stenops,1985,-68.200121,3.239463,0,382,background species
Pithecia pithecia,1966,-62.249021,6.999363,0,383,background species
Myotis keaysi,1972,-64.498321,-19.187137,0,384,background species
Tapirus terrestris,2021,-77.413121,-1.142937,0,385,background species
Lycalopex vetulus,2021,-58.306521,-13.792137,0,386,background species
