scientificName,year,lon,lat,presence,row_code
Poecilotriccus pulchellus,2018,-71.283239,-11.944893,0,176
Todirostrum chrysocrotaphum,2021,-69.045239,-12.530893,0,177
Poecilotriccus latirostris,2021,-69.170239,-12.536893,0,178
Poecilotriccus albifacies,2009,-69.584239,-13.076893,0,179
Poecilotriccus albifacies,2006,-71.244239,-12.652893,0,180
Poecilotriccus albifacies,2016,-70.722239,-12.336893,0,181
Zimmerius cinereicapilla,2021,-70.722239,-12.337893,0,182
Poecilotriccus latirostris,2021,-69.174239,-12.640893,0,183
Todirostrum chrysocrotaphum,2021,-69.524239,-12.053893,0,184
Todirostrum chrysocrotaphum,2021,-69.046239,-12.605893,0,185
Poecilotriccus albifacies,2009,-69.301239,-12.809893,0,186
Poecilotriccus latirostris,2021,-69.622239,-11.013893,0,187
Myiopagis gaimardii,2021,-69.044239,-12.532893,0,188
Todirostrum chrysocrotaphum,2021,-69.535239,-12.055893,0,189
Myiopagis gaimardii,2021,-69.043239,-12.525893,0,190
Zimmerius cinereicapilla,2020,-71.383239,-12.855893,0,191
Poecilotriccus albifacies,2006,-71.244239,-12.652893,0,192
Poecilotriccus albifacies,2008,-69.259239,-12.779893,0,193
Poecilotriccus latirostris,2021,-69.620239,-11.011893,0,194
Myiopagis gaimardii,2021,-69.495239,-12.786893,0,195
