system:index,bio10_temp_warmest_qt,bio13_precip_wettest_month,cmi_min,presence,row_code,scientificName,year,.geo
000000000000000000ff,2995.763485477178,546.0607358054007,-954.780082987552,0,256,Leopardus tigrinus,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.07769589232878,4.106463493910338],[-52.06873304778199,4.106463493910338],[-52.06873304778199,4.115460630774918],[-52.07769589232878,4.115460630774918],[-52.07769589232878,4.106463493910338]]]}"
00000000000000000105,2976.257261410788,561.1343008967356,-764.7385892116183,0,262,Didelphis imperfecta,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.35159722223761,4.289063682048512],[-52.34263227870527,4.289063682048512],[-52.34263227870527,4.298060818913526],[-52.35159722223761,4.298060818913526],[-52.35159722223761,4.289063682048512]]]}"
00000000000000000114,2986.0,349.1459409077962,618.9916666666667,0,277,Leontocebus tripartitus,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.88638372587621,-0.4419355172210538],[-76.87744368064136,-0.4419355172210538],[-76.87744368064136,-0.4329383803672677],[-76.88638372587621,-0.4329383803672677],[-76.88638372587621,-0.4419355172210538]]]}"
0000000000000000013c,2976.0,453.3729319254557,-993.8166666666667,0,317,Cebus olivaceus,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-53.5633940293444,3.533763309213433],[-53.55443717184227,3.533763309213433],[-53.55443717184227,3.5427604460766497],[-53.5633940293444,3.5427604460766497],[-53.5633940293444,3.533763309213433]]]}"
00000000000000000164,3009.0,412.64909521079164,-1494.8340248962654,0,357,Cerdocyon thous,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-50.99868551693295,1.226365796304913],[-50.98974366926297,1.226365796304913],[-50.98974366926297,1.2353629331626526],[-50.99868551693295,1.2353629331626526],[-50.99868551693295,1.226365796304913]]]}"
00000000000000000094,3015.5495867768595,389.14171821026764,-1509.194214876033,0,149,Cerdocyon thous,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-45.91079253696637,-3.6872335911028347],[-45.90183425304367,-3.6872335911028347],[-45.90183425304367,-3.6782364542567496],[-45.91079253696637,-3.6782364542567496],[-45.91079253696637,-3.6872335911028347]]]}"
0000000000000000009e,3005.0,501.5943849175797,-652.9128630705394,0,159,Nasua nasua,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-48.27628390796355,-1.2221355103385232],[-48.26734210399552,-1.2221355103385232],[-48.26734210399552,-1.2131383734865862],[-48.27628390796355,-1.2131383734865862],[-48.27628390796355,-1.2221355103385232]]]}"
000000000000000000e4,3013.025,381.7328812917073,-1106.0208333333335,0,229,Alouatta discolor,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-51.44688388907776,-1.6205338939577005],[-51.43794054708356,-1.6205338939577005],[-51.43794054708356,-1.6115367571067083],[-51.44688388907776,-1.6115367571067083],[-51.44688388907776,-1.6205338939577005]]]}"
000000000000000000fb,2998.9543568464724,445.75239100792595,-1080.02489626556,0,252,Bradypus tridactylus,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.285191113855475,3.185164166159023],[-52.276237458955,3.185164166159023],[-52.276237458955,3.194161303021411],[-52.285191113855475,3.194161303021411],[-52.285191113855475,3.185164166159023]]]}"
0000000000000000012c,3000.0,361.6122630726207,-1153.880165289256,0,301,Ateles belzebuth,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-64.97591628356822,6.878664323325743],[-64.96691159979468,6.878664323325743],[-64.96691159979468,6.887661460196953],[-64.97591628356822,6.887661460196953],[-64.97591628356822,6.878664323325743]]]}"
00000000000000000140,3001.178423236515,348.20844025038093,-828.6597510373444,0,321,Bradypus tridactylus,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-61.473310966499454,6.471963093545082],[-61.46431376535339,6.471963093545082],[-61.46431376535339,6.480960230415314],[-61.473310966499454,6.480960230415314],[-61.473310966499454,6.471963093545082]]]}"
0000000000000000016f,3005.5684647302905,403.6017797952866,-1132.746887966805,0,368,Saimiri sciureus,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.824685589861126,2.321966925133967],[-52.815738430960074,2.321966925133967],[-52.815738430960074,2.3309640619943055],[-52.824685589861126,2.3309640619943055],[-52.824685589861126,2.321966925133967]]]}"
0000000000000000017b,2986.0,380.22524795532223,544.9958333333333,0,380,Pithecia milleri,2011,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.07298563376821,-0.24273409586093805],[-76.0640457718382,-0.24273409586093805],[-76.0640457718382,-0.23373695900668],[-76.07298563376821,-0.23373695900668],[-76.07298563376821,-0.24273409586093805]]]}"
0000000000000000007d,3012.0,368.84795209395986,-1127.719008264463,0,126,Sus scrofa,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-51.77889099587138,-3.0979366322850423],[-51.76993816518679,-3.0979366322850423],[-51.76993816518679,-3.0889394954375566],[-51.77889099587138,-3.0889394954375566],[-51.77889099587138,-3.0979366322850423]]]}"
00000000000000000081,3006.0,317.41364411793313,-778.6846473029045,0,130,Chiropotes albinasus,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-56.40199706607156,-4.650033772358468],[-56.39302781512968,-4.650033772358468],[-56.39302781512968,-4.641036635514678],[-56.40199706607156,-4.641036635514678],[-56.40199706607156,-4.650033772358468]]]}"
000000000000000000c4,2911.6,391.67768592834466,1337.65,0,197,Gardnerycteris crenulatum,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.07328976201457,-2.6995337895648133],[-78.06434007817909,-2.6995337895648133],[-78.06434007817909,-2.6905366527163808],[-78.07328976201457,-2.6905366527163808],[-78.07328976201457,-2.6995337895648133]]]}"
000000000000000000d0,2990.7095435684646,350.40795353933,-830.8091286307053,0,209,Sciurillus pusillus,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-55.21510223111544,4.936467186693614],[-55.20612910292458,4.936467186693614],[-55.20612910292458,4.945464323560173],[-55.21510223111544,4.945464323560173],[-55.21510223111544,4.936467186693614]]]}"
000000000000000000de,3003.439834024896,348.1506157712818,-1355.2531120331953,0,223,Canis familiaris,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-49.50470689414686,-5.670936040340356],[-49.49572321051169,-5.670936040340356],[-49.49572321051169,-5.661938903499005],[-49.50470689414686,-5.661938903499005],[-49.50470689414686,-5.670936040340356]]]}"
000000000000000000ec,2991.0,783.4014297422037,-1060.2116182572615,0,237,Aotus brumbacki,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.78219436497167,3.7329647305735465],[-73.77323552742813,3.7329647305735465],[-73.77323552742813,3.7419618674372384],[-73.78219436497167,3.7419618674372384],[-73.78219436497167,3.7329647305735465]]]}"
000000000000000000f0,3013.585062240664,372.3416879740989,-1440.8755186721992,0,241,Canis familiaris,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-46.17639511149522,-3.8200345386762447],[-46.16743546684016,-3.8200345386762447],[-46.16743546684016,-3.811037401830475],[-46.17639511149522,-3.811037401830475],[-46.17639511149522,-3.8200345386762447]]]}"
0000000000000000011d,3011.5311203319498,378.52516649174987,-1738.510373443983,0,286,Canis familiaris,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-49.08970465422476,-5.322336897285952],[-49.0807262245791,-5.322336897285952],[-49.0807262245791,-5.313339760443766],[-49.08970465422476,-5.313339760443766],[-49.08970465422476,-5.322336897285952]]]}"
00000000000000000132,3011.269709543569,353.17507592672126,-1619.4066390041494,0,307,Canis familiaris,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-46.317495647564115,-4.0441355803187395],[-46.30853359654185,-4.0441355803187395],[-46.30853359654185,-4.035138443473505],[-46.317495647564115,-4.035138443473505],[-46.317495647564115,-4.0441355803187395]]]}"
0000000000000000013d,3000.5518672199173,421.27834120627756,-1078.8257261410788,0,318,Saimiri sciureus,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.50929215549851,3.185164166159023],[-52.500338500598026,3.185164166159023],[-52.500338500598026,3.194161303021411],[-52.50929215549851,3.194161303021411],[-52.50929215549851,3.185164166159023]]]}"
00000000000000000146,2999.9211618257254,387.6669326718912,-1133.8589211618257,0,327,Chiropotes chiropotes,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-54.044793529951065,3.4092652078015195],[-54.03583785454159,3.4092652078015195],[-54.03583785454159,3.4182623446644405],[-54.044793529951065,3.4182623446644405],[-54.044793529951065,3.4092652078015195]]]}"
00000000000000000147,3004.634854771785,277.02204369509366,-1356.7510373443984,0,328,Canis familiaris,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-49.8782078372171,-5.944836322547614],[-49.86921978758916,-5.944836322547614],[-49.86921978758916,-5.935839185706918],[-49.8782078372171,-5.935839185706918],[-49.8782078372171,-5.944836322547614]]]}"
0000000000000000014a,3001.0,364.7335445673139,-1661.228215767635,0,331,Canis familiaris,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-47.1391996183205,-4.57533491151132],[-47.130231309866616,-4.57533491151132],[-47.130231309866616,-4.5663377746673515],[-47.1391996183205,-4.5663377746673515],[-47.1391996183205,-4.57533491151132]]]}"
0000000000000000017a,3005.396694214876,391.98027164679917,-1144.6363636363637,0,379,Ateles paniscus,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.915985400537664,2.2306668310648794],[-52.90703880944948,2.2306668310648794],[-52.90703880944948,2.2396639679250003],[-52.915985400537664,2.2396639679250003],[-52.915985400537664,2.2306668310648794]]]}"
0000000000000000007a,2987.2572614107885,360.72522770418664,540.1120331950208,0,123,Cebuella pygmaea,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.21408505515085,-0.4336326710595572],[-76.20514501971465,-0.4336326710595572],[-76.20514501971465,-0.42463553420575145],[-76.21408505515085,-0.42463553420575145],[-76.21408505515085,-0.4336326710595572]]]}"
0000000000000000007f,2986.7125,262.93370463053384,476.08750000000003,0,128,Leontocebus fuscicollis,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.5500900622024,-2.8240363500777805],[-75.54113944168806,-2.8240363500777805],[-75.54113944168806,-2.815039213229644],[-75.5500900622024,-2.815039213229644],[-75.5500900622024,-2.8240363500777805]]]}"
00000000000000000091,2987.0,258.9983324686686,449.95000000000005,0,146,Leontocebus fuscicollis,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.51688753217242,-2.807435116855841],[-75.50793703900865,-2.807435116855841],[-75.50793703900865,-2.798437980007665],[-75.51688753217242,-2.798437980007665],[-75.51688753217242,-2.807435116855841]]]}"
0000000000000000009f,2999.0,358.53432571789455,272.198347107438,0,160,Isothrix negrensis,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-64.87629168131322,-3.039834545558781],[-64.8673393366573,-3.039834545558781],[-64.8673393366573,-3.030837408711157],[-64.87629168131322,-3.030837408711157],[-64.87629168131322,-3.039834545558781]]]}"
000000000000000000a2,2987.0,319.76867029973585,726.7385892116184,0,163,Leontocebus fuscicollis,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-73.22609011600585,-2.492033981144255],[-73.2171418989569,-2.492033981144255],[-73.2171418989569,-2.483036844295331],[-73.22609011600585,-2.483036844295331],[-73.22609011600585,-2.492033981144255]]]}"
000000000000000000b5,2988.464730290457,345.3708441643299,304.67634854771785,0,182,Saimiri boliviensis,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-72.50399767822965,-4.558733678289381],[-72.4950295771392,-4.558733678289381],[-72.4950295771392,-4.549736541445372],[-72.50399767822965,-4.549736541445372],[-72.50399767822965,-4.558733678289381]]]}"
000000000000000000c6,3010.0,370.38812255859375,-1121.0,0,199,Sus scrofa,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-51.77889092606277,-3.0813353990631027],[-51.769938235193685,-3.0813353990631027],[-51.769938235193685,-3.072338262215578],[-51.77889092606277,-3.072338262215578],[-51.77889092606277,-3.0813353990631027]]]}"
000000000000000000c8,2984.7302904564317,273.32765001479027,519.1120331950208,0,201,Myoprocta pratti,2013,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.43388975903925,-2.6663357822219873],[-75.42494031779576,-2.6663357822219873],[-75.42494031779576,-2.6573386453734766],[-75.43388975903925,-2.6573386453734766],[-75.43388975903925,-2.6663357822219873]]]}"
