"scientificName"
"Polycheles tanneri"
"Castalia ambigua"
"Helisoma peruvianum"
"Biomphalaria helophila"
"Heleobia vestita"
"Sphaerium lauricochae"
"Eupera cubensis"
"Pisidium meierbrooki"
"Prisodon obliquus"
"Anodontites elongatus"
"Heleobia ortoni"
"Mexinauta peruvianus"
"Rhamphopoma magnum"
"Sphaerium forbesi"
"Lamproscapha ensiformis"
"Heleobia aperta"
"Pomacea gigantea"
"Pomacea paludosa"
"Anodontites trigonus"
"Pomacea prourceus"
"Anodontites tenebricosa"
"Heleobia cuzcoensis"
"Heleobia andecola"
"Asolene petiti"
"Castalia schombergiana"
"Myxine hubbsi"
"Myxine circifrons"
"Speothos venaticus"
"Pecari tajacu"
"Dama dama"
"Stenocora percornuta"
"Atelocynus microtis"
"Pterygoplichthys gibbiceps"
"Pterygoplichthys pardalis"
"Bajacalifornia megalops"
"Bathytroctes microlepis"
"Photostylus pycnopterus"
"Rouleina maderensis"
"Talismania antillarum"
"Epicrates cenchria"
"Apostolepis nigroterminata"
"Atractus elaps"
"Dipsas indica"
"Drepanoides anomalus"
"Helicops angulatus"
"Helicops hagmanni"
"Helicops leopardinus"
"Helicops polylepis"
"Helicops pastazae"
"Helicops yacu"
"Hydrodynastes gigas"
"Imantodes lentiferus"
"Erythrolamprus breviceps"
"Erythrolamprus festae"
"Erythrolamprus taeniogaster"
"Oxyrhopus erdisii"
"Oxyrhopus fitzingeri"
"Oxyrhopus formosus"
"Oxyrhopus marcapatae"
"Oxyrhopus vanidicus"
"Philodryas olfersii"
"Incaspis simonsii"
"Chlorosoma viridissimum"
"Taeniophallus brevirostris"
"Adelphostigma occipitalis"
"Xenodon severus"
"Spilotes sulphureus"
"Rhinobothryum lentiginosum"
"Micrurus albicinctus"
"Micrurus annellatus"
"Micrurus hemprichii"
"Micrurus lemniscatus"
"Epictia diaplocia"
"Amerotyphlops brongersmianus"
"Bothrops mattogrossensis"
"Bothrops bilineatus"
"Bothrops chloromelas"
"Bothrops pulcher"
"Bothrops taeniatus"
"Bothrocophias hyoprora"
"Bothrocophias microphthalmus"
"Exocoetus volitans"
"Hirundichthys speculiger"
"Squalogadus modificatus"
"Antimora rostrata"
"Cheilopogon furcatus"
"Benthalbella infans"
"Etrumeus sadina"
"Centrobranchus nigroocellatus"
"Lampanyctus festivus"
"Myctophum phengodes"
"Scopelopsis multipunctatus"
"Taaningichthys paurolychnus"
"Scopelengys tristis"
"Ectreposebastes imus"
"Setarches guentheri"
"Taractes rubescens"
"Lepidocybium flavobrunneum"
"Gempylus serpens"
"Nealotus tripes"
"Etropus crossotus"
"Nicholsina denticulata"
"Scarus perrico"
"Alouatta sara"
"Leontocebus tripartitus"
"Leontocebus nigricollis"
"Pithecia aequatorialis"
"Pithecia monachus"
"Plecturocebus dubius"
"Plecturocebus oenanthe"
"Leontocebus nigrifrons"
"Leontocebus leucogenys"
"Leontocebus lagonotus"
"Leontocebus illigeri"
"Lama guanicoe"
"Synallactes aenigma"
