row_code,farming,flooded_forest,grassland,other_non_vegetated,urban,wetland,forest_formation,river_lake_ocean,not_observed,mangrove,non_forested_natural,savannah_formation,rocky_outcrop,mining
219,0.091039393,0.817571406,0.003898947,0,0,0,0.072901419,0.003072047,0,0,0,0,0,0
220,0,0,0,0,0,0,0.971293645,0,0,0,0,0,0,0
221,0.004729668,0,0.155170377,0,0,0,0.803432697,0,0,0,0.015049411,0,0,0
222,0,0.964901282,0,0,0,0,0.013026909,0,0,0,0,0,0,0
223,0.584638726,0,0,0,0,0,0.373030414,0,0,0,0,0.073697144,0,0
224,0.081932868,0,0,0,0,0,0.899270961,0,0,0,0,0,0,0
225,0,0.391954056,0.027064554,0.050290926,0,0.009728106,0.116140715,0.390030493,0,0,0,0,0,0
226,0.155309605,0,0,0,0,0,0.83567082,0,0,0,0,0,0,0
227,0.039903205,0.258828909,0.533980021,0,0,0.037403943,0.087557173,0.047060754,0,0,0,0,0,0
228,0,0,0,0,0,0,0.990061475,0,0,0,0,0,0,0
229,0.0164128,0,0.139097242,0,0,0.427924096,0.050287379,0.349475846,0,0,0,0,0,0
230,0.870472293,0,0,0,0,0,0.052605302,0,0,0,0.060830175,0,0,0
231,0,0,0,0,0,0,0.982254825,0,0,0,0,0,0,0
232,0.426206414,0.013998654,0.00331206,0.166017267,0.362274962,0.00884572,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0.985011467,0,0,0,0,0,0,0
234,0.061738877,0,0,0.000771239,0,0,0.91798927,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0.975428061,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0.976022896,0,0,0,0,0,0,0
237,0.36058831,0,0.001736346,0.019694399,0,0,0.56578022,0.013444198,0,0,0.022233862,0,0,0
238,0.625231107,0,0.201438866,0,0,0.144800124,0.007888785,0,0,0,0,0,0,0
239,0.014073684,0,0,0,0.872735613,0,0.081263264,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0.977805733,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0.960727498,0,0,0,0.015985874,0,0,0
242,0.231558761,0,0.004693237,0.00804555,0,0,0.691451472,0.057991047,0,0,0,0,0,0
243,0,0,0,0.019226536,0,0.110934477,0.339398795,0.499942041,0,0,0,0,0,0
244,0.023890446,0.827146822,0,0,0,0,0.126552951,0.025705565,0,0,0,0,0,0
245,0.068966806,0,0,0,0,0,0.90341022,0,0,0,0.002979202,0,0,0
246,0.103641265,0,0,0,0,0,0.886679582,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0.976007896,0,0,0,0,0,0,0
248,0,0,0.887535525,0,0,0.055365331,0.024022027,0,0,0,0,0,0,0
249,0,0.048236634,0.036344795,0.139734019,0,0,0.641448771,0.118255751,0,0,0,0,0,0
250,0.093483574,0,0,0,0,0,0.894731251,0,0,0,0,0,0,0
251,0.161251809,0,0.017897598,0.119925858,0.353748349,0,0.223516531,0.118274809,0,0,0,0,0,0
252,0.489725077,0,0,0,0,0,0.488038834,0,0,0,0,0,0,0
253,0,0.625609036,0,0,0,0,0.352288572,0,0,0,0,0,0,0
254,0.003131225,0,0.001346951,0.003472336,0,0,0.980038908,0,0,0,0,0,0,0
255,0.401143126,0,0,0.009320458,0,0,0.565696864,0.004907306,0,0,0,0,0,0
256,0.016918506,0,0,0.008271923,0,0,0.96300166,0,0,0,0.011219383,0,0,0
257,0,0,0.149416131,0,0,0,0.025860534,0,0,0,0.793137589,0,0,0
258,0,0,0,0,0,0,0.9788074,0,0,0,0,0,0,0
259,0.11437124,0,0,0.005363826,0,0,0.869641191,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0.965083497,0,0,0,0,0,0,0
